    E, kcal/mol    D, mol/kcal        W1->W2a        W1->W4a         W1->P1
            -10    2.58712e+10    2.30681e+08              0              0
           -9.8    2.68356e+10    2.49087e+08              0              0
           -9.6    2.78319e+10     2.6853e+08              0              0
           -9.4    2.88608e+10     2.8905e+08              0              0
           -9.2    2.99234e+10    3.10686e+08              0              0
             -9    3.10206e+10    3.33481e+08              0              0
           -8.8    3.21535e+10    3.57473e+08              0              0
           -8.6    3.33229e+10    3.82706e+08              0              0
           -8.4    3.45298e+10    4.09219e+08              0              0
           -8.2    3.57756e+10    4.37046e+08              0              0
             -8     3.7061e+10    4.66228e+08              0              0
           -7.8    3.83873e+10    4.96798e+08              0              0
           -7.6    3.97556e+10     5.2879e+08              0              0
           -7.4    4.11671e+10    5.62235e+08              0              0
           -7.2    4.26229e+10    5.97165e+08              0              0
             -7    4.41245e+10    6.33611e+08              0              0
           -6.8    4.56725e+10    6.71614e+08              0              0
           -6.6    4.72688e+10    7.11202e+08              0              0
           -6.4    4.89145e+10    7.52415e+08              0              0
           -6.2     5.0611e+10    7.95289e+08              0              0
             -6    5.23594e+10    8.39869e+08              0              0
           -5.8    5.41614e+10    8.86192e+08              0              0
           -5.6    5.60181e+10    9.34302e+08              0              0
           -5.4    5.79315e+10    9.84234e+08              0              0
           -5.2    5.99027e+10    1.03603e+09              0              0
             -5    6.19331e+10    1.08974e+09              0              0
           -4.8    6.40246e+10    1.14539e+09              0              0
           -4.6    6.61785e+10    1.20301e+09              0              0
           -4.4    6.83969e+10    1.26265e+09              0              0
           -4.2    7.06809e+10    1.32434e+09              0              0
             -4    7.30326e+10     1.3881e+09              0              0
           -3.8    7.54535e+10    1.45399e+09              0              0
           -3.6    7.79458e+10    1.52201e+09              0              0
           -3.4    8.05108e+10    1.59222e+09              0              0
           -3.2    8.31506e+10    1.66465e+09              0              0
             -3    8.58671e+10    1.73933e+09              0              0
           -2.8    8.86622e+10     1.8163e+09              0              0
           -2.6    9.15382e+10    1.89559e+09              0              0
           -2.4    9.44966e+10    1.97725e+09              0              0
           -2.2    9.75399e+10     2.0613e+09              0              0
             -2     1.0067e+11    2.14779e+09              0              0
           -1.8    1.03889e+11    2.23674e+09              0              0
           -1.6      1.072e+11    2.32821e+09              0              0
           -1.4    1.10604e+11    2.42222e+09              0              0
           -1.2    1.14103e+11    2.51879e+09              0              0
             -1    1.17701e+11    2.61797e+09              0              0
           -0.8      1.214e+11    2.71979e+09              0              0
           -0.6    1.25201e+11    2.82426e+09              0              0
           -0.4    1.29109e+11    2.93144e+09              0              0
           -0.2    1.33124e+11    3.04134e+09              0              0
   -6.93946e-15     1.3725e+11    3.15399e+09              0              0
            0.2    1.41489e+11    3.26943e+09              0    6.71498e+06
            0.4    1.45845e+11    3.38769e+09              0    5.76595e+07
            0.6     1.5032e+11     3.5088e+09              0    1.99659e+08
            0.8    1.54916e+11    3.63279e+09              0    4.74033e+08
              1    1.59637e+11    3.75969e+09              0    8.94911e+08
            1.2    1.64486e+11    3.88952e+09              0    1.41913e+09
            1.4    1.69465e+11    4.02234e+09              0    2.00353e+09
            1.6    1.74578e+11    4.15816e+09              0     2.5241e+09
            1.8    1.79828e+11      4.297e+09              0    3.03568e+09
              2    1.85218e+11     4.4389e+09              0    3.61464e+09
            2.2    1.90751e+11    4.58389e+09              0    4.23583e+09
            2.4    1.96431e+11    4.73199e+09              0    4.93129e+09
            2.6    2.02261e+11    4.88322e+09              0    5.67366e+09
            2.8    2.08245e+11    5.03762e+09              0    6.48603e+09
              3    2.14386e+11    5.19519e+09              0    7.33981e+09
            3.2    2.20687e+11    5.35599e+09              0    8.24601e+09
            3.4    2.27153e+11    5.52002e+09              0    9.20194e+09
            3.6    2.33787e+11    5.68731e+09              0    1.01722e+10
            3.8    2.40593e+11    5.85788e+09              0    1.11886e+10
              4    2.47574e+11    6.03178e+09              0    1.22597e+10
            4.2    2.54736e+11    6.20901e+09              0    1.33567e+10
            4.4    2.62081e+11     6.3896e+09              0    1.44726e+10
            4.6    2.69615e+11    6.57357e+09              0    1.56362e+10
            4.8    2.77341e+11    6.76095e+09              0    1.68723e+10
              5    2.85263e+11    6.95176e+09              0    1.81998e+10
